# MCバトル 大会一覧 — seed_data 収録状況
# 凡例: [done]=JSON収録済 [supa]=Supabase登録済 [part]=部分的 [----]=未収録 [excl]=除外
# フォーマット: KEY | 大会名/回 | 開催日 | 優勝者 | 状況 | 備考
# ============================================================

## UMB — ULTIMATE MC BATTLE
## 主催: Libra Records / 創設: 2005

umb2005  | 2005                 | 2005       | カルデラビスタ     | [----] | 16名。詳細ソースなし
umb2006  | 2006                 | 2006       | FORK               | [----] | 16名。詳細ソースなし
umb2007  | 2007                 | 2007       | GOCCI              | [----] | 16名。詳細ソースなし
umb2008  | 2008                 | 2008       | 般若               | [----] | 16名。詳細ソースなし
umb2009  | 2009                 | 2009       | 鎮座DOPENESS       | [----] | 16名。詳細ソースなし
umb2010  | 2010                 | 2010       | 晋平太             | [----] | 16名。詳細ソースなし
umb2011  | 2011                 | 2011-12-30 | 晋平太             | [part] | 32名。一部試合のみ判明
umb2012  | 2012                 | 2012-12-30 | R-指定             | [part] | 32名。決勝・出場者のみ
umb2013  | 2013                 | 2013-12-30 | R-指定             | [part] | 32名。決勝のみ
umb2014  | 2014                 | 2014-12-30 | R-指定             | [done] |
umb2015  | 2015                 | 2015-12-30 | CHICO CARLITO      | [done] |
umb2016  | 2016                 | 2016-12-30 | NAIKA MC           | [done] |
umb2017  | 2017                 | 2017-12-30 | DOTAMA             | [done] |
umb2018  | 2018                 | 2018-12-30 | MU-TON             | [done] |
umb2019  | 2019                 | 2019-12-28 | Authority          | [done] |
umb2020  | 2020                 | 2020-12-27 | 早雲               | [done] |
umb2021  | 2021                 | 2021-12-26 | MC☆ニガリ         | [supa] |
umb2022  | 2022                 | 2022-12-23 | SILENT KILLA JOINT | [supa] |
umb2023  | 2023                 | 2023-12-26 | GOTIT              | [done] |
umb2024  | 2024                 | 2024-12-28 | KOOPA              | [supa] |
umb2025  | 2025                 | 2025-12-29 | MC☆ニガリ         | [supa] |


## 戦極 — 戦極 MC BATTLE
## 主催: MC正社員 / 創設: 2012

sengoku1  | 第1章   | 2012       | 晋平太             | [----] | YouTube動画あり
sengoku2  | 第2章   | 2012       | 黄猿               | [----] | YouTube動画あり
sengoku3  | 第3章   | 2012       | TKda黒ぶち         | [----] | YouTube動画あり
sengoku4  | 第4章   | 2013       | TKda黒ぶち         | [----] | YouTube動画あり
sengoku5  | 第5章   | 2013       | チプルソ           | [----] | YouTube動画あり
sengoku6  | 第6章   | 2013       | 鎮座DOPENESS       | [----] | YouTube動画あり
sengoku7  | 第7章   | 2014       | DOTAMA             | [----] | YouTube動画あり
