tournament_name,held_on,grade_coeff,mc_a,mc_b,winner,round,series
# =====================================================
# SPOTLIGHT 2010 (2010-12-23)
# 優勝: peko / 準優勝: ERONE
# 信頼度: ⚠️中（ベスト4は口頭確認済み、1回戦は画像読取）
# シード：HIDADDY（左7）、ERONE（右3）、HI-KING TAKASE（右7）
# =====================================================
SPOTLIGHT 2010,2010-12-23,2.0,KBD,R-指定,b,1回戦,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,TKS,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,peko,チプルソ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,大超,ちゃくらメンソール,a,1回戦,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,RIGHT,ふぁんく,b,1回戦,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,R-指定,CIMA,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,peko,HIDADDY,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,大超,ERONE,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,ふぁんく,HI-KING TAKASE,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,R-指定,peko,b,準決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,ERONE,HI-KING TAKASE,a,準決勝,SPOTLIGHT
SPOTLIGHT 2010,2010-12-23,2.0,peko,ERONE,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2012 (2012-12-23)
# 優勝: SURRY / 準優勝: CIMA
# 信頼度: ⚠️中（ベスト4は口頭確認済み、1回戦は画像読取）
# =====================================================
SPOTLIGHT 2012,2012-12-23,2.0,R-指定,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,Lard,peko,a,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,KBD,NAJIMI,a,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,TATSU,ハジメ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,ヌマバラ山ボール,JUNKY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,TKS,HIDADDY,b,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,KZ,NAIKA MC,b,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,SURRY,歩歩,a,1回戦,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,CIMA,Lard,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,KBD,TATSU,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,JUNKY,HIDADDY,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,NAIKA MC,SURRY,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,CIMA,KBD,a,準決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,HIDADDY,SURRY,b,準決勝,SPOTLIGHT
SPOTLIGHT 2012,2012-12-23,2.0,CIMA,SURRY,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2015 (2015-12-03)
# 優勝: 呂布カルマ / 準優勝: KBD
# 信頼度: ⚠️中（準々決勝以降は口頭確認済み、1回戦は画像読取）
# =====================================================
SPOTLIGHT 2015,2015-12-03,2.0,ACE,MADJAG,a,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,K-razy,peko,a,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,KBD,ミステリオ,a,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,R-LINU$,MC frog,b,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,じょう,呂布カルマ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,スナフキン,SILENT KILLA JOINT,b,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,MC☆ニガリ a.k.a 赤い稲妻,西,a,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,LARD,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,ACE,K-razy,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,KBD,MC frog,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,呂布カルマ,SILENT KILLA JOINT,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,MC☆ニガリ a.k.a 赤い稲妻,CIMA,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,ACE,KBD,b,準決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,呂布カルマ,CIMA,a,準決勝,SPOTLIGHT
SPOTLIGHT 2015,2015-12-03,2.0,KBD,呂布カルマ,b,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2016 (2016-12-03)
# 優勝: 裂固 / 準優勝: キョンス
# 信頼度: ⚠️中（準々決勝以降は口頭確認済み、1回戦は画像読取）
# =====================================================
SPOTLIGHT 2016,2016-12-03,2.0,K-razy,けんしろー,a,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,CIMA,peko,b,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,晋平太,がーどまん,a,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,マーダー,キョンス,b,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,Lick-G,裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,Breaker,じょう,b,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,HIDADDY,崇勲,b,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,KBD,ERONE,a,1回戦,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,K-razy,peko,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,晋平太,キョンス,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,裂固,じょう,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,崇勲,KBD,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,K-razy,キョンス,b,準決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,裂固,崇勲,a,準決勝,SPOTLIGHT
SPOTLIGHT 2016,2016-12-03,2.0,キョンス,裂固,b,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2017 (2017-12-03)
# 優勝: MOL53 / 準優勝: 裂固
# 信頼度: ⚠️中（準々決勝以降は口頭確認済み、1回戦は画像読取）
# =====================================================
SPOTLIGHT 2017,2017-12-03,2.0,MOL53,KBD,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,MCfrog,K-razy,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,けんしろー,FEIDA-WAN,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,Dragon One,TKda黒ぶち,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,じょう,CIMA,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,テークエム,西a.k.a Grizzly,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,SURRY,スナフキン,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,HIDADDY,MC松島,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,オニサワ,Scooby J,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,PONY,崇勲,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,輪入道,サイプレス上野,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,T-Tongue,NAIKA MC,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,9for,ミメイ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,peko,キョンス,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,晋平太,裂固,b,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,HARDY,押忍マン,a,1回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,MOL53,MCfrog,a,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,FEIDA-WAN,TKda黒ぶち,b,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,CIMA,西a.k.a Grizzly,a,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,SURRY,MC松島,b,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,Scooby J,PONY,b,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,輪入道,NAIKA MC,a,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,ミメイ,キョンス,b,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,裂固,HARDY,a,2回戦,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,MOL53,TKda黒ぶち,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,CIMA,MC松島,a,準々決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,PONY,輪入道,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,キョンス,裂固,b,準々決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,MOL53,CIMA,a,準決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,輪入道,裂固,b,準決勝,SPOTLIGHT
SPOTLIGHT 2017,2017-12-03,2.0,MOL53,裂固,a,決勝,SPOTLIGHT
# =====================================================
# SPOTLIGHT 2018 (2018-11-25)
# 優勝: 呂布カルマ / 準優勝: RAWAXXX
# 信頼度: ✅高（finance-accounting-value.comで全試合照合済み）
# =====================================================
SPOTLIGHT 2018,2018-11-25,2.0,K-razy,LIT0,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,9for,MCマロン,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,オニサワ,RAWAXXX,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,歩歩,輪入道,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,裂固,智大,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,FRANKEN,キョンス,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ミステリオ,ダースレイダー,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,道,Dragon One,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,Scooby J,掌幻,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,じょう,呂布カルマ,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,JAKE,百足,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,CIMA,SNAFKN,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,Hardy,晋平太,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ミラクル,藤KooS,b,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ERONE,玉露,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ふぁんく,NAIKA MC,a,1回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,K-razy,MCマロン,a,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,RAWAXXX,歩歩,b,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,キョンス,裂固,b,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,Dragon One,ミステリオ,b,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,呂布カルマ,掌幻,a,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,CIMA,JAKE,b,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,藤KooS,晋平太,b,2回戦,SPOTLIGHT
SPOTLIGHT 2018,2018-11-25,2.0,ふぁんく,ERONE,a,2回戦,SPOTLIGHT
